measure,generation,hypervolume
li,0,0.13080090842123165
li,1,0.3308544676461923
li,2,0.3566287838502815
li,3,0.37962439302632406
li,4,0.38368883557408123
li,5,0.41232386560967704
li,6,0.44192019927184817
li,7,0.4694650331006669
li,8,0.4836755193643558
li,9,0.5541309335707372
li,10,0.5734463642989506
li,11,0.5809277854630881
li,12,0.5936720748277429
li,13,0.6003366360528243
li,14,0.6014349489686861
li,15,0.6062127663935242
li,16,0.6068270305997295
li,17,0.608609701843837
li,18,0.6088292372567639
li,19,0.6101918800720838
li,20,0.6105544826758332
li,21,0.6105876047114371
li,22,0.610575944651712
li,23,0.6106424090904078
li,24,0.6106985578534871
li,25,0.6107608178228413
li,26,0.6107280866247409
li,27,0.6106612797872922
li,28,0.610549470742471
li,29,0.6106608642094414
li,30,0.610662330893704
li,31,0.6106801018538428
li,32,0.609892890317473
li,33,0.6105155903605413
li,34,0.6104406440090923
li,35,0.6103755484763804
li,36,0.6098954813914397
li,37,0.6103402997632166
li,38,0.6104649663424537
li,39,0.6102241154362049
li,40,0.610460835421932
li,41,0.6105882883023045
li,42,0.6105705418270686
li,43,0.6098573722401263
li,44,0.6105709818293225
li,45,0.6105873595935186
li,46,0.6103751576287937
li,47,0.6106238061208455
li,48,0.6104770164867936
li,49,0.6105536504815486
li,50,0.6106168638865914
li,51,0.6099659790160729
li,52,0.6102494393683948
li,53,0.6101594349771774
li,54,0.610097296686172
li,55,0.6097147389794988
li,56,0.6105270795032233
li,57,0.6104054438724843
li,58,0.6104242172616455
li,59,0.6097718903631838
li,60,0.6106009997541357
li,61,0.610570346287317
li,62,0.6106063772569597
li,63,0.610593592794086
li,64,0.6106555838362018
li,65,0.6105798545358849
li,66,0.6105680483397973
li,67,0.6106098241194199
li,68,0.6104100397843293
li,69,0.610566875370176
li,70,0.6105584174784923
li,71,0.6105522571881339
li,72,0.6091189056326184
li,73,0.6102270481997302
li,74,0.610545339472394
li,75,0.610622413109764
li,76,0.6106026618369834
li,77,0.6099903252562264
li,78,0.6106108501594567
li,79,0.6104721284232236
li,80,0.6103669200440978
li,81,0.610368582389112
li,82,0.6104600530814254
li,83,0.6105017312474637
li,84,0.6106015619960432
li,85,0.6098616740171912
li,86,0.6106270328006789
li,87,0.6104886038581429
li,88,0.6104826643251611
li,89,0.6102985485121912
li,90,0.6104608600110294
li,91,0.6104490044350803
li,92,0.610186201750699
li,93,0.6104408643396078
li,94,0.610514661971061
li,95,0.610626128519657
li,96,0.6101597036153604
li,97,0.610422066018516
li,98,0.6102312527564608
li,99,0.6099408530469949
li,100,0.6094961352096067
li,101,0.610318250872305
li,102,0.6100326173363106
li,103,0.6103142418049095
li,104,0.6102428636514354
li,105,0.6096874832406398
li,106,0.6103538171632077
li,107,0.6103831252308625
li,108,0.6103746437079978
li,109,0.6105975530530088
li,110,0.610093970305505
li,111,0.6104595888934075
li,112,0.6103209642800366
li,113,0.6102653287386421
li,114,0.6104171287633067
li,115,0.6104327486248438
li,116,0.6104532816835477
li,117,0.6102218173038242
li,118,0.6102376328126683
li,119,0.6105233881816222
li,120,0.6105844014745628
li,121,0.6100718232934818
li,122,0.6105660929321972
li,123,0.6101805279552623
li,124,0.6106971883794757
li,125,0.6106560727208727
li,126,0.6105801237420956
li,127,0.6105112884759211
li,128,0.6105982371984593
li,129,0.6105527702451246
li,130,0.6104911950430263
li,131,0.6106182573581451
li,132,0.6105644555728912
li,133,0.610681984361317
li,134,0.6099138149732912
li,135,0.6101286104958433
li,136,0.6095471504819753
li,137,0.6090323967308338
li,138,0.6105000442125187
li,139,0.6105616685928118
li,140,0.6105304774194051
li,141,0.6107040573875763
li,142,0.6106540685148831
li,143,0.6105914415408733
li,144,0.6101577456633999
li,145,0.6105964528961244
li,146,0.6105697595302563
li,147,0.6103559195003924
li,148,0.6097949171814091
li,149,0.6102673088160063
li,150,0.6102210842154566
li,151,0.6101653999395339
li,152,0.6104683642048578
li,153,0.6105071819999689
li,154,0.6106145665205437
li,155,0.6100247678229248
li,156,0.6103946392987527
li,157,0.6104074729633489
li,158,0.6105261258927568
li,159,0.6099466918136711
li,160,0.610471248048994
li,161,0.6104918301346429
li,162,0.6104127527719221
li,163,0.6102154864560613
li,164,0.6104031219139782
li,165,0.610268750864116
li,166,0.6094197675876464
li,167,0.6101624411987727
li,168,0.6102797506952661
li,169,0.6097233921252397
li,170,0.6103896526334321
li,171,0.6105289123148919
li,172,0.6104798765451377
li,173,0.6105672658514019
li,174,0.6106763131640185
li,175,0.6106719866197174
li,176,0.6105548239855866
li,177,0.6106464660520541
li,178,0.6104454098061196
li,179,0.6096948902074116
li,180,0.6105738905448891
li,181,0.610635955018186
li,182,0.6102527141844787
li,183,0.6104388839631048
li,184,0.6106422862591985
li,185,0.6105353904182669
li,186,0.6104825415914241
li,187,0.6099680807885909
li,188,0.6104993836343884
li,189,0.6104542106679447
li,190,0.610419205805561
li,191,0.6103900927970192
li,192,0.6098613076948407
li,193,0.6105101634442448
li,194,0.6104261969087876
li,195,0.6103443573802791
li,196,0.6105652130554117
li,197,0.6105365884542632
li,198,0.6105240726799892
li,199,0.6103303019241445
